0,Popovice 39 686 04 Popovice Česká Republika
1,Uherské Hradiště Sportovní 1214
1,Kunovice (UH) Ke Koupališti 1726
2,Staré Město Salašská 1919
3,Hluk Družstevní II 267
4,Staré Město U Sklépka  2051
5,Hluk náměstí Komenského  162
6,Uherské Hradiště U Moravy 827
7,Ostrožská Nová Ves Nádražní 1010
8,Uherské Hradiště 28. řijna 1521
9,Uherské Hradiště Otakarova 1253
10,Uherské Hradiště Mariánské náměstí 123
11,Uherské Hradiště Velehradská třída 1206
12,Ostrožská Nová ves Kunovská 664
13,Kunovice (UH) Letecká  1383
14,Staré Město Brněnská  1372
15,Tupesy Tupesy  118
16,Uherské Hradiště Otakarova 103
17,Uherské Hradiště Smetanovy sady 179
18,Uherské Hradiště Velehradská třída 537
19,Uherské Hradiště Masarykovo náměstí 21
20,Uherské Hradiště Masarykovo náměstí 21
21,Popovice Popovice 39
22,Uherské Hradiště Mařatice  1797
23,Uherské Hradiště Masarykovo náměstí 36
24,Velehrad Nádvoří  1
25,Uherské Hradiště Velehradská třída 714
26,Modrá Modrá 227
27,Uherské Hradiště Pivovarská  303
28,Topolná Topolná  224
29,Kunovice (UH) V Pastouškách  205
30,Buchlovice Náměstí Svobody  24
31,Hluk náměstí Komenského  158
32,Kunovice (UH) Na Rynku  886
33,Staré Město Náměstí Velké Moravy  2190
34,Uherské Hradiště Masarykovo náměstí  21
35,Uherský Ostroh Zámecká  24
36,Velehrad U Lípy  302
37,Velehrad Salašská  328
38,Uherské Hradiště Vinohradská 5
39,Buchlovice Náměstí Svobody 13
40,Modrá Modrá 233
41,Buchlovice Náměstí svobody 13
42,Staré Město Velehradská 1748
43,Modrá Modrá 123
